id,title,main_picture,synopsis,mean,rank,popularity,num_list_users,num_scoring_users,start_date,end_date,media_type,status,genres
58514,Kusuriya no Hitorigoto 2nd Season,"{'medium': 'https://cdn.myanimelist.net/images/anime/1025/147458.webp', 'large': 'https://cdn.myanimelist.net/images/anime/1025/147458l.webp'}","Using her wit and vast knowledge of medicines and poisons alike, Maomao played a pivotal role in solving a series of mysteries and conspiracies that plagued the imperial court. Having recently come to terms with the secrets of her parents, she returns to fulfill her normal duties on behalf of the emperor's highest-ranking consorts. Maomao also works alongside the eunuch Jinshi to better the consorts' many ladies-in-waiting, including helping them learn to read.

However, with the arrival of a merchant caravan comes a new wave of intrigue. A pattern of strange coincidences involving the visitors and their wares unsettles Maomao, driving her to investigate the puzzling circumstances behind the convoy. As dangers from both outside and within threaten the balance between the imperial concubines, Maomao continues to utilize her cunning and medical expertise to keep the women safe from harm.

[Written by MAL Rewrite]",8.85,28.0,881,301995,62490,2025-01-10,2025-06-27,tv,currently_airing,"['Drama', 'Historical', 'Medical', 'Mystery']"
21,One Piece,"{'medium': 'https://cdn.myanimelist.net/images/anime/1244/138851.jpg', 'large': 'https://cdn.myanimelist.net/images/anime/1244/138851l.jpg'}","Barely surviving in a barrel after passing through a terrible whirlpool at sea, carefree Monkey D. Luffy ends up aboard a ship under attack by fearsome pirates. Despite being a naive-looking teenager, he is not to be underestimated. Unmatched in battle, Luffy is a pirate himself who resolutely pursues the coveted One Piece treasure and the King of the Pirates title that comes with it.

The late King of the Pirates, Gol D. Roger, stirred up the world before his death by disclosing the whereabouts of his hoard of riches and daring everyone to obtain it. Ever since then, countless powerful pirates have sailed dangerous seas for the prized One Piece only to never return. Although Luffy lacks a crew and a proper ship, he is endowed with a superhuman ability and an unbreakable spirit that make him not only a formidable adversary but also an inspiration to many.

As he faces numerous challenges with a big smile on his face, Luffy gathers one-of-a-kind companions to join him in his ambitious endeavor, together embracing perils and wonders on their once-in-a-lifetime adventure.

[Written by MAL Rewrite]",8.73,51.0,17,2533510,1439852,1999-10-20,,tv,currently_airing,"['Action', 'Adventure', 'Fantasy', 'Shounen']"
53447,Tu Bian Yingxiong X,"{'medium': 'https://cdn.myanimelist.net/images/anime/1232/148474.jpg', 'large': 'https://cdn.myanimelist.net/images/anime/1232/148474l.jpg'}","This is a world where heroes are created by people's trust, and the hero who has received the most trust is known as ""X."" In this world, people's trust can be calculated by data, and these values will be reflected on everyone's wrist. As long as enough trust points are obtained, ordinary people can also have superpowers and become superheroes that save the world. However, the ever-changing trust value makes the hero's path full of unknowns...

(Source: Bilibili, translated)",8.57,107.0,2138,108537,20537,2025-04-06,,ona,currently_airing,"['Action', 'Super Power']"
60988,Tian Guan Cifu Short Film,"{'medium': 'https://cdn.myanimelist.net/images/anime/1174/149943.jpg', 'large': 'https://cdn.myanimelist.net/images/anime/1174/149943l.jpg'}","A short film celebrating the fourth anniversary of the donghua's releases, highlighting Hua Cheng's and Xie Lian's first encounter.",8.47,154.0,7776,7334,1395,2025-02-12,,ona,currently_airing,"['Action', 'Adventure', 'Drama', 'Fantasy', 'Historical', 'Mythology']"
51039,Doupo Cangqiong: Nian Fan,"{'medium': 'https://cdn.myanimelist.net/images/anime/1419/126374.jpg', 'large': 'https://cdn.myanimelist.net/images/anime/1419/126374l.jpg'}",Fifth season of Doupo Cangqiong.,8.46,167.0,6697,10565,3550,2022-07-31,,ona,currently_airing,"['Action', 'Adventure', 'Fantasy', 'Martial Arts']"
56524,Tunshi Xingkong 4th Season,"{'medium': 'https://cdn.myanimelist.net/images/anime/1212/138218.jpg', 'large': 'https://cdn.myanimelist.net/images/anime/1212/138218l.jpg'}",Fourth season of Tunshi Xingkong.,8.39,210.0,9280,4662,1572,2023-10-03,,ona,currently_airing,"['Action', 'Adventure', 'Fantasy', 'Martial Arts', 'Sci-Fi']"
55809,Xian Ni,"{'medium': 'https://cdn.myanimelist.net/images/anime/1289/149708.jpg', 'large': 'https://cdn.myanimelist.net/images/anime/1289/149708l.jpg'}","Wang Lin is a very smart boy with loving parents. Although he and his parents are shunned by the rest of their relatives, his parents have always held high hopes that he will one day achieve greatness. One day, Wang Lin suddenly gained the chance to walk the path of an immortal but found that he only had mediocre talent at best. Watch Wang Lin as he breaks through his lack of talent and walks the path towards becoming a real immortal!

(Source: Xian Ni Wiki)",8.36,236.0,7727,7415,1749,2023-09-25,,ona,currently_airing,"['Action', 'Adventure', 'Fantasy', 'Historical']"
59636,Uma Musume: Cinderella Gray,"{'medium': 'https://cdn.myanimelist.net/images/anime/1626/148097.jpg', 'large': 'https://cdn.myanimelist.net/images/anime/1626/148097l.jpg'}","A spin-off title of the Uma Musume project by Cygames. It follows Oguri Cap through her time at Kasamatsu Training Center Academy and on her journey of becoming a legendary horse girl.

(Source: MU)",8.31,279.0,4682,26157,3796,2025-04-06,,tv,currently_airing,"['Anthropomorphic', 'Drama', 'Racing', 'Seinen', 'Sports']"
59228,Kuroshitsuji: Midori no Majo-hen,"{'medium': 'https://cdn.myanimelist.net/images/anime/1517/148292.webp', 'large': 'https://cdn.myanimelist.net/images/anime/1517/148292l.webp'}","By the Queen's orders, Sebastian and Ciel head to Germany to investigate mysterious deaths that have been occurring. As the two investigate the truth behind the ""Werewolf Forest,"" where anyone who steps foot inside is cursed to death, a terrible curse falls upon them.

(Source: Official site, translated)",8.28,307.0,3542,46127,4433,2025-04-05,2025-06-28,tv,currently_airing,"['Action', 'Historical', 'Mystery', 'Mythology', 'Shounen', 'Supernatural']"
52684,Shen Yin Wangzuo 2nd Season,"{'medium': 'https://cdn.myanimelist.net/images/anime/1897/150028.webp', 'large': 'https://cdn.myanimelist.net/images/anime/1897/150028l.webp'}","Revealing himself to be a Dual Knight, Long Hao Chen triumphs in his match within his temple and advances to the finals. But before the grand finals can begin, ranking matches are conducted in each temple to determine the strongest within. During the rankings, Hao Chen is injured, enraging Sheng Cai'er and driving her to seek vengeance for what happened to him. Her actions cause a fight between the Knight Temple and Assassin Temple, only to be subdued after a shocking revelation—that Sheng Cai'er is a Reincarnated Saint.

The finals for the Demon Hunting Team Competition begin with the division of the sixty remaining participants into six groups. The top sixteen participants are then further pitted against each other to determine the top three. Each of the top three will be rewarded with a spiritual stove and the right to pick their teammates.

In order to become a knight that is capable of defeating the Demon Lord, Long Hao Chen must strive to be first in this competition so he can select the best teammates to give him a fighting chance.

[Written by MAL Rewrite]",8.22,368.0,8133,6542,2438,2022-11-10,,ona,currently_airing,"['Action', 'Adventure', 'Fantasy']"
235,Meitantei Conan,"{'medium': 'https://cdn.myanimelist.net/images/anime/7/75199.jpg', 'large': 'https://cdn.myanimelist.net/images/anime/7/75199l.jpg'}","Shinichi Kudou, a high school student of astounding talent in detective work, is well known for having solved several challenging cases. One day, when Shinichi spots two suspicious men and decides to follow them, he inadvertently becomes witness to a disturbing illegal activity. Unfortunately, he is caught in the act, so the men dose him with an experimental drug formulated by their criminal organization, leaving him to his death. However, to his own astonishment, Shinichi lives to see another day, but now in the body of a seven-year-old child.

Perfectly preserving his original intelligence, he hides his real identity from everyone, including his childhood friend Ran Mouri and her father, private detective Kogorou Mouri. To this end, he takes on the alias of Conan Edogawa, inspired by the mystery writers Arthur Conan Doyle and Ranpo Edogawa.

Shinichi, as Conan, starts secretly solving the senior Mouri's cases from behind the scenes with his still exceptional sleuthing skills, while covertly investigating the organization responsible for his current state, hoping to reverse the drug's effects someday.

[Written by MAL Rewrite]",8.17,440.0,700,366423,165565,1996-01-08,,tv,currently_airing,"['Adventure', 'Comedy', 'Detective', 'Mystery', 'Shounen']"
44042,Holo no Graffiti,"{'medium': 'https://cdn.myanimelist.net/images/anime/1259/110227.webp', 'large': 'https://cdn.myanimelist.net/images/anime/1259/110227l.webp'}","From unraveling the secrets of opening and closing doors to defusing surprise packages more commonly known as bombs, there is never a dull day at the Hololive Production office! Holo no Graffiti follows an eccentric cast of Virtual YouTubers, also known as ""VTubers,"" going about their absurd yet hilarious daily lives, detailing all their cute moments and mishaps.

[Written by MAL Rewrite]",8.16,462.0,3116,58077,18071,2019-05-05,,ona,currently_airing,['Comedy']
50250,Chiikawa,"{'medium': 'https://cdn.myanimelist.net/images/anime/1783/121944.jpg', 'large': 'https://cdn.myanimelist.net/images/anime/1783/121944l.jpg'}","What's a Chiikawa? No one really knows, but everyone can see they're small, they're cute, and they're always having a fun time! Join them as they explore their surreal world with the sharp humor and clever antics that make the Chiikawa irresistible.

(Source: HIDIVE, edited)",8.08,554.0,7186,8956,2313,2022-04-04,,tv,currently_airing,"['Comedy', 'Seinen']"
51836,Douluo Dalu II: Jueshi Tangmen,"{'medium': 'https://cdn.myanimelist.net/images/anime/1756/150193.jpg', 'large': 'https://cdn.myanimelist.net/images/anime/1756/150193l.jpg'}","A strange continent in another world.

No magic, no battle qi, no martial arts, only martial spirits. Ten thousand years after the Tang clan was founded on the Douluo continent, the Tang clan has declined to the verge of extinction.

A whole new generation of proud talents has been born. Will the new generation of the Seven monsters of Shrek be able to reestablish the Tang Clan and compose a new tale of greatness for the unrivaled Tang Clan?

(Source: IMDB)",8.04,621.0,8534,5855,1605,2023-06-24,,ona,currently_airing,"['Action', 'Adventure', 'Fantasy', 'Martial Arts']"
60557,Fanren Xiu Xian Chuan: Waihai Fengyun,"{'medium': 'https://cdn.myanimelist.net/images/anime/1388/149196.jpg', 'large': 'https://cdn.myanimelist.net/images/anime/1388/149196l.jpg'}",Fourth season of Fanren Xiu Xian Chuan.,8.01,665.0,13087,1462,317,2025-01-18,,ona,currently_airing,"['Action', 'Adventure', 'Fantasy', 'Historical', 'Martial Arts']"
59953,Mushen Ji,"{'medium': 'https://cdn.myanimelist.net/images/anime/1324/150012.webp', 'large': 'https://cdn.myanimelist.net/images/anime/1324/150012l.webp'}","In the Disabled Elderly Village, there live nine elderly people with unpredictable origins and the young man Qin Mu they raised. One day, the cows that Qin Mu was responsible for grazing began to speak human words. From then on, Qin Mu became more aware of the dangers and beauty of Daxu, a land abandoned by gods: demons descended with darkness, divine bones danced in the ruins, and dragon bones protected their young, a giant ship that drags the sun... No matter what kind of danger he faces, Qin Mu is fearless. He has integrated the skills passed down by the Nine Elders and vowed to carve out a world with his unparalleled hegemony. 

(Source: Bilibili, Google translated)",7.98,697.0,6048,13565,12252,2024-10-27,,ona,currently_airing,"['Action', 'Adventure', 'Fantasy', 'Historical']"
51818,Enen no Shouboutai: San no Shou,"{'medium': 'https://cdn.myanimelist.net/images/anime/1527/146836.webp', 'large': 'https://cdn.myanimelist.net/images/anime/1527/146836l.webp'}",Third season of Enen no Shouboutai.,7.95,739.0,1201,219181,17745,2025-04-05,2025-06-21,tv,currently_airing,"['Action', 'Fantasy', 'Sci-Fi', 'Shounen', 'Urban Fantasy']"
60572,Kun Tun Tianxia Zhi Zhang Men Guilai,"{'medium': 'https://cdn.myanimelist.net/images/anime/1956/147054.webp', 'large': 'https://cdn.myanimelist.net/images/anime/1956/147054l.webp'}","Fan Lingxiao, a gifted spirit pet master, was ambushed in the A-level sect promotion competition and devoured by his own spirit pet whale, Kun. When he woke up, he found himself reincarnated into a young man named ""Liu Fengmang"" who is imprisoned in the White Mansion. 

His sect, Lingxiao Pavilion, was also in dire straits. In order to find out the truth about the backlash of the spirit Kun and revive his sect, Fan Lingxiao takes his existing spirit pets and embarks on a new adventure with Gu Ling, Cheng Xi, and Yue Tong.

(Source: Bilibili, translated)",7.89,852.0,6403,11786,913,2025-05-01,,ona,currently_airing,"['Action', 'Fantasy']"
47405,Wanmei Shijie,"{'medium': 'https://cdn.myanimelist.net/images/anime/1619/137928.jpg', 'large': 'https://cdn.myanimelist.net/images/anime/1619/137928l.jpg'}","Born into a unique world where villages fight to gain power and control, the main character, Shi Hao, is a genius blessed by the heavens born under the poorest of conditions.

His clan, however, has a mysterious past. To rise up and become the genius he is meant to be, the clan goes through every effort to aid his cultivation as they battle through fanatical monsters and engage in power struggles with other clans.

His journey will bring him through unknown lands until he is able to become a person that can truly shake the world.

(Source: Novels Xianxia&Xuanhuan Wiki)",7.87,903.0,6207,12681,2424,2021-04-23,,ona,currently_airing,"['Action', 'Adventure', 'Fantasy']"
59160,Wind Breaker Season 2,"{'medium': 'https://cdn.myanimelist.net/images/anime/1526/148873.jpg', 'large': 'https://cdn.myanimelist.net/images/anime/1526/148873l.jpg'}",Second season of Wind Breaker.,7.87,904.0,1738,142307,18834,2025-04-04,2025-06-20,tv,currently_airing,"['Action', 'Delinquents', 'School']"
56215,Yi Nian Yong Heng 3rd Season,"{'medium': 'https://cdn.myanimelist.net/images/anime/1105/150044.jpg', 'large': 'https://cdn.myanimelist.net/images/anime/1105/150044l.jpg'}",Third season of Yi Nian Yong Heng.,7.87,905.0,10865,2874,506,2024-07-03,,ona,currently_airing,"['Action', 'Adventure', 'Fantasy', 'Historical', 'Martial Arts']"
60334,Anne Shirley,"{'medium': 'https://cdn.myanimelist.net/images/anime/1564/150049.jpg', 'large': 'https://cdn.myanimelist.net/images/anime/1564/150049l.jpg'}","Life is not easy for Anne Shirley, an 11-year-old orphan with a vast imagination and a short temper. In a twist of fate, she gets taken into the Cuthbert house in Avonlea. The elderly occupants Marilla and Matthew Cuthbert were looking for a young boy to help in the fields, but they're in for quite a shock when they realize Anne is a girl.

Adapted from the acclaimed classic by L. M. Montgomery, Akage no Anne portrays Anne's upbringing from 11 to 17 years of age and her encounters and separations with various people. Only time will tell what major decision Anne has to make that will change her life forever.

[Written by MAL Rewrite]",7.81,1021.0,4040,35798,4822,2025-04-05,,tv,currently_airing,"['Drama', 'Historical']"
966,Crayon Shin-chan,"{'medium': 'https://cdn.myanimelist.net/images/anime/10/59897.jpg', 'large': 'https://cdn.myanimelist.net/images/anime/10/59897l.jpg'}","There is no such thing as an uneventful day in the life of kindergartener Shinnosuke ""Shin-chan"" Nohara. The five-year-old is a cut above the most troublesome, perverted, and shameless kid one can imagine. Shin-chan is almost always engaged in questionable activities such as forgetting about a friend during hide and seek, sumo wrestling for love, performing various gags including the notorious ""elephant"" in public, and flirting with college girls. The exemplary troublemaker has done it all and has no plans to stop anytime soon.

Crayon Shin-chan follows the daily shenanigans of Shin-chan with his group of friends, parading around as the self-proclaimed ""Kasukabe Defense Force."" The adults witnessing these shenanigans unfold can't help but adore Shin-chan, as he keeps them entertained while unintentionally solving their daily troubles through his mindless antics—leaving himself as the only problem they do not know what to do with.

[Written by MAL Rewrite]",7.81,1025.0,2404,90488,42529,1992-04-13,,tv,currently_airing,"['Comedy', 'Ecchi', 'School', 'Seinen']"
59828,Shoushimin Series 2nd Season,"{'medium': 'https://cdn.myanimelist.net/images/anime/1224/148321.webp', 'large': 'https://cdn.myanimelist.net/images/anime/1224/148321l.webp'}","""I just wanted to know... what love really is.""

Having ended their mutually beneficial reciprocal relationship, second-year high schoolers Jougorou Kobato and Yuki Osanai go their separate ways.

Osanai begins dating first-year newspaper club member Urino, who throws himself into covering a series of arson incidents happening around town in hopes of leaving a mark on the school and impressing Osanai. Meanwhile, Kobato starts a relationship with his classmate, Nakamaru, and settles into a peaceful daily life—until he happens to witness an arson scene by the riverside...

What awaits Kobato and Osanai as they embark on a new chapter of their lives as ""ordinary citizens""?

(Source: Official website, translated)",7.81,1037.0,4150,34064,4313,2025-04-06,,tv,currently_airing,"['Mystery', 'School']"
60420,Cang Yuan Tu 2nd Season,"{'medium': 'https://cdn.myanimelist.net/images/anime/1609/150081.jpg', 'large': 'https://cdn.myanimelist.net/images/anime/1609/150081l.jpg'}",The second season of Cang Yuan Tu.,7.8,1063.0,13505,1302,338,2024-12-06,,ona,currently_airing,"['Action', 'Adventure', 'Fantasy', 'Historical', 'Martial Arts']"
8687,Doraemon (2005),"{'medium': 'https://cdn.myanimelist.net/images/anime/6/23935.jpg', 'large': 'https://cdn.myanimelist.net/images/anime/6/23935l.jpg'}","Doraemon (2005) is the most recent anime series based on Fujiko Fujio's manga of the same name. 

It is the 2005 version of 1979 series, with certain changes in the animation and other things.

Doraemon is a cat-like robot who appears in the present to steer Nobita/Noby, who is a dumb, naive and clumsy boy on the right path in order to secure his future. Nobita's love interest is Shizuka Minamoto/Sue, his frenemies are Takeshi Goda/Big G and Suneo/Sneech.

(Source: Wikipedia)",7.73,1226.0,5031,21970,9749,2005-04-22,,tv,currently_airing,"['Anthropomorphic', 'Comedy', 'Kids', 'Sci-Fi', 'Shounen']"
